Unique_ID,Company_Name,Company_Type,Primary_Therapeutic_Area,Primary_Indication,Lead_Asset_Name,Core_Technology,Company_Overview,Business_Model,Oncology,Cardiometabolic,Immunology_Inflammation,Neuroscience,Infectious_Disease_Vaccines,Rare_Disease,Respiratory,Renal,Ophthalmology,Dermatology,Women_Health,Animal_Health,Diagnostics_Tools,Diversified,Other,Small_Molecule,Monoclonal_Antibody,Bispecific_Antibody,ADC,Vaccine,mRNA,Cell_Therapy,Gene_Therapy,RNA_Therapy,Protein_Peptide,Biosimilar,Generic,Diagnostic,Device,Tools_Manufacturing,Other_Modality,Key_Franchise,Flagship_Product_or_Asset,Geographic_Focus,Headcount_Bucket,Headcount_Source,Headcount_As_Of_Date,Strategic_Notes,Therapeutic_Area_Source,Therapeutic_Area_Source_Date,Modality_Source,Modality_Source_Date,Evidence_URL,Evidence_Notes,Confidence,Last_Reviewed,Reviewer_Notes
CMP-036,LabCorp,CDMO / Services,Diagnostics_Tools,Diagnostics & Laboratory Services,,,American clinical laboratory network providing diagnostic and clinical trial testing services.,Clinical diagnostic testing networks and drug development CRO services,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Diagnostics & Lab Services,Clinical Testing Services,Global,25k-75k,SEC 10-K,2024-12-31,Spun off Covance Clinical Development segment to refocus on core testing.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000920148,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-037,BioNTech,Biotech,Oncology,mRNA Cancer Immunotherapy & Vaccines,,,"German biotechnology developer of mRNA therapies, famous for Comirnaty.",mRNA technology platform co-developing products with big pharma partnerships,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,mRNA Therapeutics & Oncology,Comirnaty,Global,500-5k,Annual Report,2024-12-31,Reinvesting COVID vaccine profits into a broad clinical oncology pipeline.,2024 Annual Report,2025-03-31,2024 Annual Report,2025-03-31,https://www.sec.gov/edgar/browse/?CIK=0001776985,Therapeutic areas and modalities exposure verified against official company 2024 Annual Report filings.,High,2026-06-04,
CMP-038,Abbott Laboratories,Diversified Healthcare,Diversified,Medical Devices & Diagnostics,,,"Global healthcare company specializing in diagnostics, medical devices, nutrition, and generics.",Highly diversified healthcare manufacturer spanning diagnostics and medical devices,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Medical Devices & Diagnostics,FreeStyle Libre,Global,75k+,SEC 10-K,2024-12-31,Continuous glucose monitoring (FreeStyle Libre) is a major growth engine.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000001800,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-039,CVS Health Corporation,Diversified Healthcare,Other,Healthcare Services,,"Pharmacy retail, PBM, Insurance","American healthcare company operating retail pharmacy chains, PBM, and health insurance (Aetna).","Integrated healthcare services company with retail pharmacy, PBM, and insurance segments",N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Pharmacy Benefit Management & Insurance,CVS Pharmacy Services,US,75k+,SEC 10-K,2024-12-31,Acquired Oak Street Health and Signify Health to expand primary care clinic model.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000064803,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-040,Neurocrine Biosciences,Biotech,Neuroscience,Neuroscience,Ingrezza,VMAT2 inhibitors (Ingrezza),Biopharmaceutical developer of therapies for neuropsychiatric and endocrine disorders.,Commercial biotech with a dominant central nervous system (CNS) franchise,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Neuroscience (Movement Disorders),Ingrezza,US & Global,500-5k,SEC 10-K,2024-12-31,Ingrezza (tardive dyskinesia) generates the vast majority of its product revenues.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000914475,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-041,Incyte Corporation,Biotech,Oncology,Oncology & Autoimmune Dermatology,,,"Biotech firm focused on oncology, hematology, and autoimmune inflammation.",Targeted small-molecule inhibitor developer with established oncology franchise,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Oncology & Autoimmune (JAK Inhibitors),Jakafi (ruxolitinib),Global,500-5k,SEC 10-K,2024-12-31,Opzelura (atopic dermatitis cream) is expanding their reach into dermatology.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000879169,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-042,Viatris Inc.,Diversified Healthcare,Diversified,Generics & Biosimilars,,,"American global healthcare company that produces generics, biosimilars, and brand name drugs.",Global manufacturer of generic pharmaceuticals and biosimilar products,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,Generics & Specialty Medicine,EpiPen,Global,25k-75k,SEC 10-K,2024-12-31,Formed by the merger of Mylan and Upjohn (a Pfizer division).,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0001792044,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-043,Royalty Pharma plc,Royalty / Investment Model,Other,Royalty Financing,,,Largest buyer of biopharmaceutical royalties and funder of clinical development.,Biopharma royalty acquirer and late-stage development funding provider,Y,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Royalty Investment Portfolio,Keytruda Royalties,Global,<500,SEC 10-K,2024-12-31,"Receives royalties on major drugs including Keytruda, Trikafta, and Spinraza.",2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://clinicaltrials.gov,"Therapeutic area and modality exposure reflects royalty portfolio holdings as disclosed in the 2024 Form 10-K, rather than proprietary pipeline assets.",Medium,2026-06-04,"Downgraded to Medium: lacks specific source URL, royalty financing business model rather than direct pipeline ownership."
CMP-044,Summit Therapeutics Inc.,Biotech,Oncology,Oncology (Bispecifics),,,Clinical-stage biotech focusing on oncology therapies including bispecific antibodies.,Clinical-stage oncology biotech developing bispecific antibodies licensed from Akeso,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Oncology,Ivonescimab,Global,<500,SEC 10-K,2024-12-31,Ivonescimab (PD-1/VEGF bispecific) showed superior PFS over pembrolizumab in NSCLC trial.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://clinicaltrials.gov,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,Medium,2026-06-04,Downgraded to Medium: lacks specific source URL.
CMP-045,Jazz Pharmaceuticals plc,Innovator Pharma,Neuroscience,Neuroscience & Oncology,,,Specialty pharma developer of neuroscience products and oncology therapies.,Specialty innovator pharma specializing in sleep disorders and orphan oncology,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Neuroscience (Sleep Medicine) & Oncology,Xywav,Global,500-5k,SEC 10-K,2024-12-31,Expanding neuroscience reach with Epidiolex (cannabinoid for epilepsy).,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0001232524,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-046,Revolution Medicines,Biotech,Oncology,Oncology (RAS Inhibitors),,,Clinical-stage oncology biotech focused on developing therapies targeting RAS-pathway active cancers.,Clinical-stage oncology biotech developing small-molecule inhibitors of RAS-pathway active cancers,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Oncology (RAS/MAPK Pathway),RMC-6236,US & Global,<500,SEC 10-K,2024-12-31,Flagship program RMC-6236 is a RAS-multi (ON) inhibitor showing promising early efficacy.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0001628171,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-047,Danaher,Diagnostics / Tools,Diagnostics_Tools,Life Sciences Tools & Bioprocessing,,,Global life sciences tools and clinical diagnostics developer (Cytiva mapping).,Life science tools manufacturer providing laboratory and industrial bioprocessing systems,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,Life Sciences Tools & Bioprocessing,Chromatography Systems,Global,75k+,SEC 10-K,2024-12-31,"Danaher consolidated includes Cytiva, Pall Corporation, and Beckman Coulter.",2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0000313616,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-048,BioMarin Pharmaceutical,Biotech,Rare_Disease,Rare Genetic Diseases,,,Specialty biotech developing enzyme replacements and gene therapies for rare genetic diseases.,Commercial rare-disease biotech developing enzyme replacement and gene therapies,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Rare Genetic Diseases,Roctavian (valoctocogene roxaparvovec),Global,500-5k,SEC 10-K,2024-12-31,Roctavian is their first gene therapy for severe Hemophilia A.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0001048477,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-049,Elanco Animal Health Incorporated,Animal Health,Animal_Health,Animal Health,,,"Animal health firm specializing in pet parasiticides, vaccines, and livestock feed additives.",Veterinary product manufacturer with global agricultural and companion animal markets,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,Veterinary Medicine,Seresto,Global,5k-25k,SEC 10-K,2024-12-31,Acquired Bayer Animal Health in 2020 to double scale and companion animal product lines.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0001739104,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,
CMP-050,Insmed,Biotech,Respiratory,Rare Respiratory Diseases,,,Biopharmaceutical developer of therapies for rare and serious respiratory diseases.,Clinical-stage biopharma focusing on rare pulmonary diseases,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Rare Respiratory Diseases,Arikayce,Global,500-5k,SEC 10-K,2024-12-31,Arikayce is approved for Nontuberculous Mycobacterial (NTM) lung disease.,2024 Form 10-K,2025-02-25,2024 Form 10-K,2025-02-25,https://www.sec.gov/edgar/browse/?CIK=0001104506,Therapeutic areas and modalities exposure verified against official company 2024 Form 10-K filings.,High,2026-06-04,\n
